Category,Subcategory,Note,Amount,Hour,DayOfWeek,Payment Mode
household,43,1011,-0.20524212569129804,0,5,1
food,74,709,-0.22921851969233178,0,5,1
food,49,282,-0.20055109208240013,0,5,1
food,10,260,-0.229739745648876,0,4,1
food,49,282,-0.21618787077872648,0,4,1
gift,62,418,-0.1692775346897474,0,4,2
food,32,459,-0.23182464947505285,0,5,1
food,53,616,-0.21566664482218226,0,5,1
household,43,910,0.24952752139352688,0,6,0
household,43,714,-0.22817606777924335,0,6,1
food,53,486,-0.2250487120399781,0,6,1
money transfer,37,1011,6.150587188408823,0,1,2
household,43,514,-0.22452748608343387,0,0,1
food,22,167,-0.2250487120399781,0,0,1
food,53,616,-0.21566664482218226,0,0,1
food,49,282,-0.20055109208240013,0,0,1
transportation,6,584,-0.22921851969233178,0,3,1
household,34,1005,-0.19559944549523012,0,3,0
food,32,715,-0.22817606777924335,0,3,1
food,17,360,-0.22921851969233178,0,3,1
food,61,679,-0.2250487120399781,0,3,1
maid,62,1011,0.286795177286438,0,3,1
other,62,210,-0.2328931626859685,0,4,2
other,62,210,-0.2279727896561911,0,4,2
food,53,616,-0.21566664482218226,0,4,1
money transfer,37,1011,2.373236620035091,0,4,2
food,41,49,-0.22270319523552914,21,2,2
food,18,502,-0.17084121255938003,19,2,0
food,49,382,-0.1252339413617615,13,2,0
transportation,6,894,-0.23182464947505285,11,2,2
transportation,81,752,-0.22661238990961072,7,2,1
food,74,18,-0.22791545480097125,20,0,1
food,85,460,-0.22921851969233178,11,0,1
food,53,616,-0.21566664482218226,11,0,1
food,18,209,0.08716563593000487,20,4,0
food,10,260,-0.22530932501825018,19,5,1
food,53,616,-0.21566664482218226,13,1,2
subscription,77,720,-0.19351454166905327,9,1,0
transportation,6,894,-0.23182464947505285,21,3,1
food,74,785,-0.22791545480097125,21,3,1
food,79,113,-0.22921851969233178,21,3,1
food,74,57,-0.19273270273423695,21,3,1
food,74,442,-0.2135817409960054,21,3,0
food,79,515,-0.17188366447246847,21,3,0
culture,8,422,-0.2083694814305633,19,0,1
food,25,13,-0.23260648840986917,22,4,2
food,85,484,-0.23052158458369232,22,4,1
household,43,910,-0.19455699358214168,20,4,2
food,74,737,-0.195338832516958,19,4,2
food,74,789,-0.195338832516958,19,4,1
food,68,17,-0.22921851969233178,12,4,1
food,53,616,-0.21566664482218226,12,4,1
food,74,61,-0.22817606777924335,23,6,2
household,43,514,-0.22452748608343387,18,6,0
family,65,1011,-0.2214001303441686,17,6,1
food,18,58,-0.17031998660283584,20,5,0
other,62,1011,-0.2300003586271481,16,5,2
food,74,304,-0.17820352919556703,16,5,0
food,10,260,-0.229739745648876,16,5,1
food,22,167,-0.2250487120399781,16,5,1
food,53,486,-0.2250487120399781,16,5,1
transportation,6,894,-0.23182464947505285,20,3,1
food,74,355,-0.23052158458369232,18,3,1
family,14,959,-0.02620100961836123,18,3,0
family,14,231,-0.10464551607826512,18,3,0
food,74,701,-0.2214001303441686,17,3,1
food,74,18,-0.22661238990961072,17,3,1
food,79,353,-0.23182464947505285,17,3,1
transportation,81,745,-0.22921851969233178,16,3,1
food,49,282,-0.22661238990961072,22,2,1
food,53,486,-0.224788099061706,13,2,2
food,49,282,-0.21879400056144754,16,4,1
food,53,486,-0.2250487120399781,16,4,2
household,43,597,-0.19794496229967906,21,6,1
food,61,679,-0.22400626012688965,21,6,1
food,18,382,-0.08379647781649666,6,6,0
family,65,1011,-0.10933654968716304,12,5,1
food,53,486,-0.2250487120399781,9,5,2
transportation,81,94,0.10254180164805912,0,1,2
household,34,642,-0.1562468857761421,0,6,1
health,35,189,-0.21436357993082175,0,6,1
food,53,15,-0.21566664482218226,0,6,1
food,53,486,-0.2250487120399781,0,6,1
apparel,46,322,-0.21071499823501225,0,0,2
food,9,426,-0.22400626012688965,0,0,1
subscription,50,1011,-0.09369977099083668,0,0,2
food,22,167,-0.2250487120399781,0,0,1
food,53,486,-0.2250487120399781,0,0,1
festivals,36,501,-0.22921851969233178,0,5,2
food,74,120,-0.22661238990961072,0,5,2
health,52,936,-0.18960534699497167,0,3,1
health,52,161,-0.22869729373578757,0,3,1
education,75,1009,-0.23338832734468548,0,3,2
food,53,486,-0.2250487120399781,0,3,1
documents,16,181,-0.2214001303441686,0,3,0
family,65,1011,-0.2214001303441686,0,3,1
food,41,313,-0.22921851969233178,0,4,1
food,25,578,-0.19221147677769274,0,4,2
household,43,910,0.1192210322574739,0,4,0
household,43,878,0.0188850356227131,0,4,0
other,62,251,-0.23182464947505285,0,4,2
family,65,1011,-0.11715493903532621,0,5,1
food,49,282,-0.20055109208240013,0,5,1
food,53,486,-0.2250487120399781,0,2,2
food,41,313,-0.23052158458369232,0,2,2
food,18,382,-0.18517492636434588,0,6,0
food,22,167,-0.2250487120399781,0,6,1
money transfer,37,1011,2.371699003463286,0,6,2
food,7,541,-0.22270319523552914,20,6,2
food,53,487,-0.2250487120399781,20,6,2
food,61,677,-0.22661238990961072,20,6,0
food,66,788,-0.229739745648876,20,6,0
household,43,514,-0.22452748608343387,19,5,0
food,49,157,-0.22661238990961072,13,5,1
food,53,15,-0.21540603184391016,22,1,2
household,80,622,-0.19794496229967906,19,1,2
transportation,6,425,-0.11897922988323095,18,1,0
food,5,287,-0.2300003586271481,12,1,2
food,9,426,-0.22400626012688965,20,2,2
health,52,815,-0.20107231803894435,22,0,1
food,68,17,-0.22921851969233178,7,0,2
food,53,15,-0.21566664482218226,6,0,2
subscription,77,720,-0.19351454166905327,23,4,2
food,5,565,-0.22921851969233178,20,4,2
food,61,677,-0.22921851969233178,20,4,2
food,49,282,-0.18439308742952956,19,4,2
household,2,545,0.4431629642497016,21,5,2
beauty,33,476,-0.1901265729515159,22,1,2
food,53,15,-0.21566664482218226,9,1,2
food,74,61,-0.22817606777924335,9,1,2
food,18,229,0.23024216100139105,23,2,0
family,14,1011,0.7032547165652634,23,2,0
transportation,6,584,-0.22921851969233178,19,2,1
food,49,157,-0.22661238990961072,19,2,1
food,74,224,-0.22270319523552914,8,0,2
food,7,541,-0.22270319523552914,8,0,2
food,53,15,-0.21566664482218226,8,0,2
food,41,313,-0.22530932501825018,19,4,2
food,32,485,-0.22661238990961072,19,4,2
household,43,910,-0.2039390607999375,19,4,0
food,74,5,-0.21879400056144754,19,6,2
food,66,788,-0.22791545480097125,20,5,0
food,9,260,-0.22530932501825018,20,5,2
food,32,199,-0.21566664482218226,20,5,2
food,53,15,-0.21566664482218226,6,5,2
food,22,167,-0.2250487120399781,0,3,2
food,17,135,-0.22661238990961072,0,3,2
food,25,578,-0.19221147677769274,0,3,1
transportation,4,74,-0.22661238990961072,0,0,1
food,18,710,-0.173186729363829,0,0,1
food,74,977,-0.23052158458369232,0,0,1
transportation,81,744,-0.22400626012688965,0,0,1
transportation,4,350,-0.23052158458369232,0,0,1
food,53,15,-0.2164484837569986,0,5,2
apparel,46,322,-0.20889070738710752,0,3,2
food,74,866,-0.22530932501825018,0,4,2
food,61,677,-0.22791545480097125,0,4,2
food,53,15,-0.2164484837569986,0,4,2
culture,56,103,-0.15311953003687684,0,2,0
family,65,1011,-0.10412429012172092,0,6,1
food,32,809,-0.17709592403791058,0,6,2
food,7,541,-0.22270319523552914,0,6,2
food,53,17,-0.2164484837569986,0,6,2
food,18,382,-0.11663371307878201,0,1,0
food,49,282,-0.2214001303441686,0,1,2
food,53,486,-0.22530932501825018,0,1,2
food,41,313,-0.23182464947505285,0,0,2
transportation,82,766,0.011848485209366242,0,0,0
food,49,282,-0.21306051503946122,0,0,2
family,65,1011,-0.1901265729515159,0,0,1
food,27,174,-0.22661238990961072,0,5,2
food,85,484,-0.23052158458369232,0,5,2
maid,62,1011,0.286795177286438,0,5,1
money transfer,37,1011,2.371699003463286,0,5,2
food,18,209,-0.1510346262107,22,6,1
transportation,6,704,-0.2214001303441686,20,6,2
food,53,15,-0.2164484837569986,7,6,2
household,44,593,-0.23182464947505285,21,5,2
food,32,360,-0.22921851969233178,21,5,2
family,65,1011,-0.2083694814305633,8,5,1
food,7,541,-0.22270319523552914,7,1,2
food,22,167,-0.22348503417034546,7,1,2
food,53,15,-0.2164484837569986,7,1,2
food,74,61,-0.22817606777924335,19,3,2
household,43,878,0.020162039216246416,19,3,0
household,43,910,-0.03532246385788494,19,3,0
transportation,6,965,10.971927286442783,18,2,2
transportation,4,742,-0.23052158458369232,14,0,1
transportation,81,745,-0.22921851969233178,12,0,1
apparel,15,799,0.028527715818781024,12,0,0
food,68,17,-0.22921851969233178,10,0,2
food,53,15,-0.2164484837569986,10,0,2
food,66,788,-0.22791545480097125,10,0,1
household,43,514,-0.22452748608343387,10,0,1
food,49,282,-0.21618787077872648,13,4,1
food,53,486,-0.22530932501825018,9,6,1
household,43,878,-0.16328343618948898,21,5,0
food,25,62,-0.23078219756196441,19,1,2
food,25,578,-0.19221147677769274,12,1,1
health,52,337,-0.22661238990961072,10,1,2
food,53,15,-0.2164484837569986,10,1,2
food,18,502,-0.1343553956012852,19,3,0
food,7,341,-0.23182464947505285,20,2,2
food,9,1011,-0.22270319523552914,20,2,2
subscription,77,720,-0.18778105614706694,10,2,0
food,9,428,-0.2300003586271481,22,0,2
household,43,196,-0.2206182914093523,22,0,2
food,9,428,-0.22921851969233178,22,0,1
household,43,277,-0.22244258225725702,22,0,1
transportation,6,964,12.796218134347525,21,4,2
food,49,443,-0.1773565370161827,15,4,0
food,22,167,-0.22348503417034546,7,4,2
food,53,15,-0.2164484837569986,7,4,2
household,43,235,-0.19142963784287642,9,5,1
food,53,15,-0.2164484837569986,8,5,2
social life,47,588,-0.15676811173268632,7,5,0
food,76,312,-0.1604166934284958,16,1,0
food,32,678,-0.22452748608343387,16,1,1
transportation,81,744,-0.22400626012688965,13,1,1
transportation,4,966,-0.1651077270373937,13,1,2
transportation,81,750,-0.22400626012688965,15,3,1
household,34,994,-0.026461622596633337,15,3,0
transportation,4,895,-0.22921851969233178,15,3,1
transportation,4,368,-0.22791545480097125,15,3,1
apparel,15,497,-0.1825687965816248,15,3,0
transportation,4,690,-0.22843668075751547,12,3,1
transportation,4,646,-0.22400626012688965,10,3,1
transportation,4,350,-0.23052158458369232,7,3,1
health,52,936,-0.04157717533641548,20,2,1
apparel,46,322,-0.2135817409960054,20,2,2
household,43,878,-0.17553224616827795,0,2,0
health,45,413,-0.10412429012172092,0,2,1
food,22,167,-0.22348503417034546,0,4,2
food,53,15,-0.2164484837569986,0,4,2
food,68,71,-0.22400626012688965,0,1,2
food,9,426,-0.2255699379965223,0,2,1
food,53,15,-0.2164484837569986,0,2,2
food,74,977,-0.22921851969233178,0,6,1
household,34,887,0.13016677734490234,0,6,0
food,25,577,-0.2073270295174749,0,6,2
household,43,495,-0.19142963784287642,0,6,1
food,79,52,-0.22921851969233178,0,3,1
transportation,81,745,-0.22921851969233178,0,3,1
subscription,50,1011,-0.023334266857368065,0,0,2
household,43,514,-0.22452748608343387,0,0,1
household,2,160,-0.2083694814305633,0,0,2
food,17,50,-0.22921851969233178,0,0,1
food,53,15,-0.2164484837569986,0,0,1
household,43,324,-0.1640652751243053,0,3,1
household,43,653,-0.20055109208240013,0,3,1
food,49,282,-0.21618787077872648,0,3,1
documents,84,179,-0.2214001303441686,0,3,2
food,18,1008,-0.05695334105446973,0,4,0
transportation,6,963,0.02618219901433207,0,4,2
food,22,167,-0.22400626012688965,0,4,2
food,53,15,-0.2164484837569986,0,4,2
household,43,910,0.06266801597242691,0,4,0
health,52,815,-0.19325392869078115,0,4,1
subscription,1,193,-0.10881532373061882,0,1,0
food,41,807,-0.23052158458369232,0,1,1
household,29,572,-0.07832360527278243,0,1,0
food,53,15,-0.2164484837569986,0,1,1
money transfer,37,1011,7.583958568905405,0,1,2
maid,62,1011,0.286795177286438,0,1,1
food,9,427,-0.22661238990961072,13,3,1
food,85,387,-0.22791545480097125,10,2,1
family,54,438,-0.11715493903532621,21,0,2
food,74,138,-0.22661238990961072,18,0,1
household,43,1011,-0.1869992172122506,18,0,1
food,25,1011,-0.23312771436641336,18,0,1
subscription,55,365,-0.18725983019052272,13,0,2
food,85,459,-0.23182464947505285,18,4,1
food,32,924,-0.21618787077872648,18,6,1
subscription,60,400,0.22138131974013944,19,5,0
subscription,77,720,-0.19377515464732536,17,1,0
subscription,55,365,-0.18725983019052272,11,1,2
transportation,4,761,-0.2135817409960054,5,1,1
transportation,4,51,-0.22661238990961072,21,3,2
gift,62,244,0.12104532310537865,19,3,0
food,74,471,-0.22791545480097125,19,3,1
household,80,949,-0.2083694814305633,19,3,1
food,53,486,-0.22530932501825018,8,3,2
gift,62,244,-0.026461622596633337,11,2,0
food,49,502,-0.13539784751437364,14,0,2
food,74,977,-0.23052158458369232,20,4,2
household,43,913,-0.2036784478216654,20,4,1
food,49,282,-0.217490935670087,14,4,1
food,53,616,-0.21618787077872648,14,4,1
food,49,282,-0.20967254632192384,10,6,1
subscription,21,817,7.166977803670036,10,6,0
family,65,1011,-0.10412429012172092,20,5,1
food,74,301,-0.22270319523552914,18,5,1
transportation,81,755,-0.23182464947505285,17,5,1
food,53,616,-0.2164484837569986,6,5,2
apparel,15,971,-0.15311953003687684,6,1,0
food,18,209,-0.10282122523036039,22,3,0
transportation,4,1006,-0.22661238990961072,22,3,1
household,43,380,-0.005612584334864859,22,3,0
food,79,52,-0.22921851969233178,17,3,1
transportation,4,330,-0.22791545480097125,17,3,1
transportation,81,745,-0.22921851969233178,16,3,1
transportation,4,350,-0.23052158458369232,16,3,1
food,53,616,-0.2164484837569986,7,2,2
other,62,661,-0.23182464947505285,7,0,1
food,41,313,-0.23052158458369232,7,0,1
food,32,693,-0.19664189740831853,20,4,1
apparel,46,322,-0.20889070738710752,22,6,1
family,65,1011,-0.22921851969233178,17,6,1
food,53,616,-0.2164484837569986,7,6,2
food,22,167,-0.22400626012688965,0,5,1
